成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
1	凋叶粽	2245770	2	False	30817	0.0	30817	0
2	arily	0	-1	True	9740688	0.0	9740688	0
3	arily	0	-1	True	1668548	0.0	1668548	0
4	凋叶粽	0	-1	True	725904	0.0	725904	0
6	凋叶粽	2245770	2	False	31200	0.0	31200	0
7	凋叶粽	0	-1	False	44338	0.0	44338	0
8	凋叶粽	2245780	2	True	19409	4.83017	19409	4.830169200897217
9	凋叶粽	0	-1	True	21126	0.0	21126	0
10	凋叶粽	0	-1	True	12038	0.0	12038	0
11	一起打饭	0	-1	True	1315185	0.0	1315185	0
12	一起打饭	1916880	2	False	3258850	0.0	3258850	0
13	秘制小汉堡	0	-1	True	518068	0.0	518068	0
14	秘制小汉堡	0	-1	False	155824	0.0	155824	0
15	秘制小汉堡	0	-1	False	183348	0.0	183348	0
16	秘制小汉堡	0	-1	True	1768978	0.0	1768978	0
17	秘制小汉堡	209576	2	False	444622	0.0	444622	0
18	秘制小汉堡	0	-1	False	378873	0.0	378873	0
19	秘制小汉堡	0	-1	False	2443013	0.0	2443013	0
20	秘制小汉堡	0	-1	False	2739562	0.0	2739562	0
21	秘制小汉堡	0	-1	True	8456822	0.0	8456822	0
22	秘制小汉堡	0	-1	True	595903	0.0	595903	0
23	秘制小汉堡	0	-1	True	304662	0.0	304662	0
24	秘制小汉堡	0	-1	False	150947	0.0	150947	0
25	秘制小汉堡	0	-1	False	210656	0.0	210656	0
26	秘制小汉堡	0	-1	False	340715	0.0	340715	0
27	秘制小汉堡	0	-1	True	345547	0.0	345547	0
28	秘制小汉堡	0	-1	True	1273101	0.0	1273101	0
29	秘制小汉堡	0	-1	True	868293	0.0	868293	0
30	秘制小汉堡	0	-1	True	1199924	0.0	1199924	0
31	秘制小汉堡	1264070	2	True	613985	91.4476	613985	91.4476318359375
32	秘制小汉堡	0	-1	True	825533	0.0	825533	0
33	秘制小汉堡	1474947	2	True	556033	53.743	556033	53.74296951293945
34	秘制小汉堡	909244	2	False	2648550	0.0	2648550	0
35	凋叶粽	1383390	2	True	21199	3.8508	21199	3.8507964611053467
36	凋叶粽	1383390	2	False	14615	0.0	14615	0
37	凋叶粽	1383387	2	True	46271	18.4097	46271	18.409725189208984
38	凋叶粽	0	-1	False	848	0.0	848	0
39	凋叶粽	0	-1	True	49146	0.0	49146	0
40	凋叶粽	1383988	2	True	22701	5.94294	22701	5.942939758300781
41	凋叶粽	0	-1	True	8998	0.0	8998	0
42	凋叶粽	0	-1	False	10114	0.0	10114	0
43	arily	1701404	2	True	5454238	339.112	5454238	339.1115417480469
45	arily	1970829	2	False	1956413	0.0	1956413	0
46	arily	1970829	2	True	2804178	206.627	2804178	206.62657165527344
47	你 也 要 过 饭 ？	1970829	2	True	1097634	64.9778	1097634	64.9777603149414
48	arily	0	-1	True	2377002	0.0	2377002	0
49	arily	0	-1	False	2768170	0.0	2768170	0
50	arily	0	-1	False	3868530	0.0	3868530	0
51	arily	0	-1	False	4888680	0.0	4888680	0
52	arily	0	-1	False	6211320	0.0	6211320	0
53	arily	1690353	2	False	6724000	0.0	6724000	0
54	凋叶粽	0	-1	False	37496	0.0	37496	0
55	凋叶粽	0	-1	True	23701	0.0	23701	0
56	arily	0	-1	False	427293	0.0	427293	0
57	arily	0	-1	False	789660	0.0	789660	0
58	arily	0	-1	True	846143	0.0	846143	0
59	arily	0	-1	False	1331335	0.0	1331335	0
60	arily	1180037	2	True	556052	115.068	556052	115.06803131103516
61	arily	1989857	2	True	791110	227.021	791110	227.02090454101562
62	arily	1992711	2	True	744760	226.4	744760	226.40028381347656
