成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
1	嗨	2245776	2	False	33830	46.0267	33830	0
2	嗨	2245776	2	False	33830	46.0267	33830	0
3	嗨	2245776	2	False	33830	46.0267	33830	0
4	嗨	2245776	2	False	33830	46.0267	33830	0
5	嗨	2245776	2	False	33830	46.0267	33830	0
6	嗨	2245776	2	False	33830	46.0267	33830	0
7	嗨	2245786	2	True	16810	4.99882	16810	5.148785591125488
8	嗨	2245786	2	False	16810	4.99882	16810	0
9	嗨	2245786	2	True	16810	4.99882	16810	5.148785591125488
10	嗨	2245786	2	True	16810	4.99882	16810	5.148785591125488
11	嗨	2245780	2	False	31510	25.3243	31510	0
12	嗨	2245786	2	True	16810	4.99882	16810	5.148785591125488
13	arily	1970829	2	False	85020	470.358	85020	0
14	arily	1970829	2	False	85020	470.358	85020	0
15	arily	1970829	2	False	85020	470.358	85020	0
16	arily	1970829	2	False	85020	470.358	85020	0
17	arily	1970829	2	False	85020	470.358	85020	0
18	arily	1970829	2	False	85020	470.358	85020	0
19	arily	1970829	2	False	85020	470.358	85020	0
20	arily	1970829	2	False	85020	470.358	85020	0
21	arily	1970829	2	False	85020	470.358	85020	0
22	你 也 要 过 饭 ？	0	-1	True	130040	132.331	130040	0
23	你 也 要 过 饭 ？	0	-1	True	130040	132.331	130040	0
24	你 也 要 过 饭 ？	0	-1	True	130040	132.331	130040	0
25	你 也 要 过 饭 ？	0	-1	True	130040	132.331	130040	0
26	你 也 要 过 饭 ？	0	-1	True	130040	132.331	130040	0
27	arily	1385398	2	False	122930	418.203	122930	0
28	arily	1385398	2	False	122930	418.203	122930	0
29	arily	1385398	2	False	122930	418.203	122930	0
30	arily	1385398	2	False	122930	418.203	122930	0
31	arily	1385398	2	False	122930	418.203	122930	0
32	arily	0	-1	False	52400	316.386	52400	0
33	arily	0	-1	False	52400	316.386	52400	0
34	arily	0	-1	False	52400	316.386	52400	0
35	arily	0	-1	False	52400	316.386	52400	0
36	arily	0	-1	False	52400	316.386	52400	0
37	arily	0	-1	False	52400	316.386	52400	0
38	arily	0	-1	False	52400	316.386	52400	0
39	arily	0	-1	False	52400	316.386	52400	0
40	arily	0	-1	False	52400	316.386	52400	0
41	arily	0	-1	False	52400	316.386	52400	0
42	黄旭东	0	-1	True	26120	56.9495	26120	0
43	黄旭东	0	-1	True	26120	56.9495	26120	0
44	黄旭东	0	-1	True	26120	56.9495	26120	0
45	黄旭东	0	-1	True	26120	56.9495	26120	0
46	黄旭东	0	-1	True	26120	56.9495	26120	0
47	黄旭东	0	-1	True	30700	61.4308	30700	0
48	黄旭东	0	-1	True	30700	61.4308	30700	0
49	黄旭东	0	-1	True	30700	61.4308	30700	0
50	黄旭东	0	-1	True	30700	61.4308	30700	0
51	黄旭东	0	-1	True	26120	56.9495	26120	0
52	黄旭东	0	-1	True	30700	61.4308	30700	0
53	黄旭东	0	-1	True	40620	70.5479	40620	0
54	黄旭东	0	-1	True	40620	70.5479	40620	0
55	黄旭东	0	-1	True	40620	70.5479	40620	0
56	黄旭东	0	-1	True	40620	70.5479	40620	0
57	黄旭东	0	-1	True	30700	61.4308	30700	0
58	黄旭东	0	-1	True	40620	70.5479	40620	0
59	黄旭东	0	-1	True	26120	56.9495	26120	0
60	黄旭东	0	-1	False	40620	70.5479	40620	0
61	黄旭东	0	-1	True	30700	61.4308	30700	0
62	黄旭东	0	-1	False	40620	70.5479	40620	0
63	黄旭东	0	-1	True	26120	56.9495	26120	0
64	黄旭东	0	-1	True	30700	61.4308	30700	0
65	黄旭东	0	-1	False	40620	70.5479	40620	0
66	黄旭东	0	-1	True	26120	56.9495	26120	0
67	黄旭东	0	-1	True	30700	61.4308	30700	0
68	黄旭东	0	-1	False	40620	70.5479	40620	0
69	嗨	0	-1	True	18930	3.78774	18930	0
70	嗨	0	-1	True	18930	3.78774	18930	0
71	嗨	0	-1	True	18930	3.78774	18930	0
72	嗨	0	-1	True	18930	3.78774	18930	0
73	嗨	0	-1	True	18930	3.78774	18930	0
74	嗨	0	-1	True	18930	3.78774	18930	0
75	嗨	0	-1	True	18930	3.78774	18930	0
76	嗨	0	-1	True	18930	3.78774	18930	0
77	嗨	0	-1	True	18930	3.78774	18930	0
78	我去要饭	1775270	5	True	85090	204.527	210	0.001
79	我去要饭	1775270	5	True	85090	204.527	210	0.001
80	我去要饭	1775270	5	True	85090	204.527	210	0.001
81	我去要饭	1775270	5	True	85090	204.527	210	0.001
82	我去要饭	1775270	5	True	85090	204.527	210	0.001
83	arily	0	-1	False	40030	405.956	40030	0
84	arily	0	-1	False	40030	405.956	40030	0
85	arily	0	-1	False	40030	405.956	40030	0
86	我去要饭	1775270	5	True	85090	204.527	210	0.001
87	arily	0	-1	False	40030	405.956	40030	0
88	arily	0	-1	False	40030	405.956	40030	0
89	arily	0	-1	False	40030	293.861	40030	0
90	arily	0	-1	False	40030	293.861	40030	0
91	arily	0	-1	False	40030	293.861	40030	0
92	arily	0	-1	False	40030	293.861	40030	0
93	arily	0	-1	False	40030	405.956	40030	0
94	arily	0	-1	False	40030	293.861	40030	0
95	arily	0	-1	False	40030	293.861	40030	0
96	arily	0	-1	False	40030	405.956	40030	0
97	arily	0	-1	False	40030	293.861	40030	0
98	我去要饭	1775270	5	True	85090	204.527	210	0.001
99	arily	0	-1	False	40030	405.956	40030	0
100	arily	0	-1	False	40030	293.861	40030	0
101	我去要饭	1775270	5	True	85090	204.527	210	0.001
102	arily	0	-1	False	40030	405.956	40030	0
103	arily	0	-1	False	40030	293.861	40030	0
104	我去要饭	1775270	5	True	85090	204.527	210	0.001
105	arily	0	-1	False	40030	405.956	40030	0
106	arily	0	-1	False	40030	293.861	40030	0
107	我去要饭	1775270	5	True	85090	204.527	210	0.001
108	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
109	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
110	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
111	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
112	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
113	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
114	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
115	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
116	我去要饭	86324	3	True	288560	4.91333	288560	5.060726642608643
117	我去要饭	86324	3	True	288560	4.91333	288560	5.060726642608643
118	我去要饭	86324	3	True	288560	4.91333	288560	5.060726642608643
119	我去要饭	86324	3	True	288560	4.91333	288560	5.060726642608643
120	我去要饭	1401254	2	True	87100	8.24216	87100	8.489420890808105
121	我去要饭	1134237	5	True	198830	0.000569385	0	0.001
122	我去要饭	1134237	5	True	198830	0.000569385	0	0.001
123	我去要饭	1134237	5	True	198830	0.000569385	0	0.001
124	我去要饭	1134237	5	True	198830	0.000569385	0	0.001
125	我去要饭	1134237	5	True	198830	0.000569385	0	0.001
126	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
127	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
128	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
129	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
130	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
131	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
132	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
133	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
134	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
135	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
136	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
137	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
138	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
139	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
140	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
141	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
142	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
143	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
144	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
145	你 也 要 过 饭 ？	0	-1	True	101140	0.000833512	101140	0
146	我去要饭	0	-1	True	122980	6.26059	122980	0
147	我去要饭	0	-1	True	122980	6.26059	122980	0
148	我去要饭	0	-1	True	122980	6.26059	122980	0
149	我去要饭	0	-1	True	122980	6.26059	122980	0
150	我去要饭	0	-1	True	122980	6.26059	122980	0
151	我去要饭	0	-1	True	122980	6.26059	122980	0
152	我去要饭	0	-1	True	122980	6.26059	122980	0
153	我去要饭	0	-1	True	109340	0.608868	109340	0
154	我去要饭	0	-1	True	109340	0.608868	109340	0
155	我去要饭	0	-1	True	109340	0.608868	109340	0
156	我去要饭	0	-1	True	109340	0.608868	109340	0
157	我去要饭	0	-1	True	109340	0.608868	109340	0
158	我去要饭	0	-1	True	109340	0.608868	109340	0
159	我去要饭	0	-1	True	122980	6.26059	122980	0
160	我去要饭	0	-1	True	109340	0.608868	109340	0
161	我去要饭	0	-1	True	109340	0.608868	109340	0
162	我去要饭	1401254	2	True	82010	5.1094	82010	5.262678623199463
163	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
164	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
165	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
166	我去要饭	0	-1	True	122980	6.26059	122980	0
167	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
168	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
169	我去要饭	1808605	5	True	539630	0.565187	0	0.001
170	我去要饭	1808605	5	True	539630	0.565187	0	0.001
171	我去要饭	1808605	5	True	539630	0.565187	0	0.001
172	我去要饭	1808605	5	True	539630	0.565187	0	0.001
173	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
174	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
175	我去要饭	0	-1	True	109340	0.608868	109340	0
176	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
177	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
178	我去要饭	0	-1	True	122980	6.26059	122980	0
179	我去要饭	0	-1	True	109340	0.608868	109340	0
180	fellleaf	1849273	2	True	76910	64.9584	76910	66.90713500976562
181	我去要饭	715043	5	True	257200	0.00555444	0	0.001
182	我去要饭	715043	5	True	257200	0.00555444	0	0.001
183	我去要饭	715043	5	True	257200	0.00555444	0	0.001
