成绩序号	玩家名字	铺面ID	RANK状态	完成状态	原分数	原pp	新分数	新pp
1	嗨	2245770	2	False	30817	0.0	30817	0
2	arily	0	-1	True	9740688	0.0	9740688	0
3	arily	1979462	2	True	1668548	0.0	1668548	11.389762878417969
4	嗨	0	-1	True	725904	0.0	725904	0
5	嗨	2245770	2	False	244691	0.0	0	0
6	嗨	2245770	2	False	31200	6.26729	31200	0
7	嗨	2245776	2	False	44338	20.3899	44338	0
8	嗨	2245780	2	True	19409	4.8386	19409	4.830169200897217
9	嗨	0	-1	True	21126	7.76385	21126	0
10	嗨	1383386	2	True	12038	1.852	12038	1.8352676630020142
11	一起打饭	0	-1	True	1315185	18.6949	1315185	0
12	一起打饭	1916880	2	False	3258850	118.687	3258850	0
13	秘制小汉堡	953586	2	True	518068	17.9623	518068	18.031230926513672
14	秘制小汉堡	40017	2	False	155824	2.63453	155824	0
15	秘制小汉堡	40017	2	False	183348	3.99421	183348	0
16	秘制小汉堡	0	-1	True	1768978	19.8129	1768978	0
17	秘制小汉堡	0	-1	False	444622	18.5221	444622	0
18	秘制小汉堡	0	-1	False	378873	36.4038	378873	0
19	秘制小汉堡	0	-1	False	2443013	30.5591	2443013	0
20	秘制小汉堡	0	-1	False	2739562	39.352	2739562	0
21	秘制小汉堡	0	-1	True	8456822	89.8977	8456822	0
22	秘制小汉堡	605717	2	True	595903	13.0517	595903	13.048847198486328
23	秘制小汉堡	0	-1	True	304662	6.48815	304662	0
24	秘制小汉堡	524776	2	False	150947	48.9965	150947	0
25	秘制小汉堡	524776	2	False	210656	76.8345	210656	0
26	秘制小汉堡	524776	2	False	340715	107.055	340715	0
27	秘制小汉堡	524776	2	True	345547	113.0	345547	103.91529083251953
28	秘制小汉堡	0	-1	True	1273101	51.3161	1273101	0
29	秘制小汉堡	0	-1	True	868293	20.1885	868293	0
30	秘制小汉堡	0	-1	True	1199924	2.69779	1199924	0
31	秘制小汉堡	0	-1	True	613985	81.396	613985	0
32	秘制小汉堡	847313	2	True	825533	36.3251	825533	36.34199142456055
33	秘制小汉堡	0	-1	True	556033	53.5901	556033	0
34	秘制小汉堡	0	-1	True	2648550	85.4292	2648550	0
35	嗨	0	-1	True	21199	0.0	21199	0
36	嗨	0	-1	False	14615	1.45745	14615	0
37	嗨	0	-1	True	46271	18.4267	46271	0
38	嗨	0	-1	False	848	0.0510813	848	0
39	嗨	0	-1	True	49146	19.2991	49146	0
40	嗨	0	-1	True	22701	6.12141	22701	0
41	嗨	0	-1	True	8998	0.768645	8998	0
42	嗨	0	-1	False	10114	1.0319	10114	0
43	arily	1701404	2	True	5454238	328.842	5454238	339.1115417480469
44	arily	1970829	2	False	307658	168.099	0	0
45	arily	1970829	2	False	1956413	257.817	1956413	0
46	arily	1970829	2	True	2804178	189.457	2804178	206.62657165527344
47	你 也 要 过 饭 ？	1970829	2	True	1097634	61.0798	1097634	64.9777603149414
48	arily	1385398	2	True	2377002	269.026	2377002	286.0378112792969
49	arily	0	-1	False	2768170	226.238	2768170	0
50	arily	0	-1	False	3868530	272.287	3868530	0
51	arily	0	-1	False	4888680	327.097	4888680	0
52	arily	0	-1	False	6211320	364.679	6211320	0
53	arily	1690353	2	False	6724000	296.747	6724000	0
54	嗨	2245776	2	False	37496	18.0755	37496	0
55	嗨	0	-1	True	23701	5.58224	23701	0
56	arily	0	-1	False	427293	157.868	427293	0
57	arily	0	-1	False	789660	111.873	789660	0
58	arily	0	-1	True	846143	269.847	846143	0
59	arily	0	-1	False	1331335	177.446	1331335	0
60	arily	0	-1	True	556052	92.5891	556052	0
61	arily	0	-1	True	791110	216.519	791110	0
62	arily	1992711	2	True	744760	212.992	744760	226.40028381347656
63	MyAngelMatsuri	0	-1	True	7018683	155.008	7018683	0
64	arily	0	-1	True	2756962	66.432	2756962	0
65	黄旭东	510510	2	True	142010	22.784	142010	27.314863204956055
66	黄旭东	0	-1	True	259978	49.8813	259978	0
67	黄旭东	0	-1	True	446678	77.941	446678	0
68	arily	0	-1	True	1183928	54.1705	1183928	0
69	黄旭东	0	-1	True	356930	70.5463	356930	0
70	黄旭东	936800	2	True	268618	25.7888	268618	35.02494812011719
71	黄旭东	0	-1	True	264190	43.1374	264190	0
72	黄旭东	1180151	2	True	343400	49.0632	343400	49.501461029052734
73	黄旭东	0	-1	True	130005	47.8051	130005	0
74	黄旭东	0	-1	True	207833	92.8666	207833	0
75	黄旭东	0	-1	True	164209	55.8084	164209	0
76	arily	899732	2	False	4635630	304.467	4635630	0
77	黄旭东	1180151	2	False	178477	86.0638	178477	0
78	黄旭东	1402715	2	True	236906	69.9128	236906	78.052734375
79	黄旭东	1474946	2	True	2718636	118.902	2718636	125.42477416992188
80	arily	899732	2	True	7401560	374.896	7401560	386.83538818359375
81	黄旭东	0	-1	True	2062730	97.393	2062730	0
82	黄旭东	0	-1	True	312856	75.0085	312856	0
83	黄旭东	637549	2	True	1165495	90.4729	1165495	96.01757049560547
84	黄旭东	2245774	2	True	643540	165.71	643540	171.10252380371094
85	一起打饭	0	-1	True	1247048	74.0751	1247048	0
86	一起打饭	1003944	2	False	1004500	45.558	1004500	0
87	一起打饭	947526	2	True	1294568	86.3975	1294568	102.58050537109375
88	我去要饭	1861487	2	True	26663206	44.8084	26663206	55.441951751708984
89	一起打饭	0	-1	True	1515757	85.1507	1515757	0
90	我去要饭	1474795	2	False	10491288	201.018	10491288	0
91	一起打饭	1242789	2	True	4169356	79.1925	4169356	96.77625274658203
92	Yuans	0	-1	True	1660645	104.351	1660645	0
93	Yuans	1264972	2	True	1747157	220.977	1747157	233.8558349609375
94	我去要饭	1569904	2	True	12180810	206.463	12180810	231.70860290527344
95	一起打饭	0	-1	True	7276574	128.43	7276574	0
96	Yuans	0	-1	True	5902500	100.836	5902500	0
97	Yuans	0	-1	True	3021715	249.604	3021715	0
98	Yuans	0	-1	True	5281882	224.378	5281882	0
99	Yuans	2014470	2	True	3510725	311.64	3510725	323.5077819824219
100	Yuans	1974323	2	True	2306770	247.808	2306770	254.72189331054688
101	Yuans	746736	2	True	2560365	236.185	2560365	250.67088317871094
102	Yuans	0	-1	True	1872218	180.106	1872218	0
103	Yuans	1726474	2	True	1414786	186.209	1414786	194.18621826171875
104	drugs520	0	-1	True	668535	310.741	668535	0
105	我去要饭	0	-1	True	3515090	108.392	3515090	0
106	drugs520	1764213	2	False	164929	179.099	164929	0
107	drugs520	1764213	2	True	383184	313.578	383184	314.365234375
108	drugs520	1762724	2	True	437281	269.824	437281	269.9540710449219
109	drugs520	1762728	2	True	492642	253.177	492642	253.8499755859375
110	drugs520	0	-1	False	269595	291.172	269595	0
111	drugs520	0	-1	True	335521	327.014	335521	0
112	我去要饭	725718	2	True	11978870	322.445	11978870	343.554443359375
113	drugs520	1970565	2	False	2384999	243.723	2384999	0
114	drugs520	1970565	2	True	3015243	304.737	3015243	315.80694580078125
115	秘制小汉堡	0	-1	True	3370590	103.043	3370590	0
116	FcEazy	0	-1	True	1368204	119.248	1368204	0
117	drugs520	1844417	2	True	4520424	345.966	4520424	349.7663879394531
118	秘制小汉堡	0	-1	True	10403010	125.576	10403010	0
119	drugs520	2118443	2	False	2470547	310.813	2470547	0
120	drugs520	2118443	2	True	4140494	404.535	4140494	413.9257507324219
121	drugs520	1829038	2	True	1264334	193.272	1264334	195.83688354492188
122	drugs520	1897567	2	True	1904445	207.074	1904445	212.49356079101562
123	arily	1690353	2	True	6989520	300.633	6989520	316.447509765625
124	黄旭东	0	-1	True	5714248	83.1835	5714248	0
125	秘制小汉堡	0	-1	True	5844418	96.5005	5844418	0
126	drugs520	0	-1	True	4994980	222.603	4994980	0
127	arily	1690353	2	False	6902030	329.629	6902030	0
128	黄旭东	0	-1	True	5597376	93.5896	5597376	0
129	秘制小汉堡	0	-1	True	25824024	239.331	25824024	0
130	arily	1690355	2	True	6626092	313.324	6626092	329.34063720703125
131	Yuans	0	-1	True	458843	63.2081	458843	0
132	arily	0	-1	True	8369930	363.021	8369930	0
133	秘制小汉堡	0	-1	True	3941736	78.4535	3941736	0
134	黄旭东	0	-1	True	1450246	22.9938	1450246	0
135	Yuans	0	-1	True	1135538	41.217	1135538	0
136	arily	1281115	2	True	4027400	228.445	4027400	243.0693359375
137	arily	0	-1	False	4406940	301.396	4406940	0
138	秘制小汉堡	40017	2	False	463950	22.4321	463950	0
139	arily	1805627	2	True	4773090	309.232	4773090	325.64752197265625
140	秘制小汉堡	40017	2	False	849884	50.2162	849884	0
141	drugs520	0	-1	True	10364585	247.172	10364585	0
142	drugs520	899732	2	False	3854740	248.553	3854740	0
143	drugs520	899732	2	True	4986630	328.259	4986630	341.6382141113281
144	drugs520	0	-1	True	1917532	314.165	1917532	0
145	Yuans	722844	5	True	5958270	10.5531	5958270	10.621164321899414
146	drugs520	0	-1	False	4931159	246.531	4931159	0
147	秘制小汉堡	40017	2	True	994038	66.583	994038	72.38872528076172
148	drugs520	0	-1	True	7658742	308.44	7658742	0
149	一起打饭	0	-1	True	4875052	127.594	4875052	0
150	drugs520	0	-1	True	2398096	282.564	2398096	0
151	秘制小汉堡	1091249	2	False	848995	14.1377	848995	0
152	一起打饭	0	-1	False	1085830	54.4991	1085830	0
153	drugs520	1690124	2	True	4063818	278.392	4063818	285.76385498046875
154	我去要饭	0	-1	False	11278410	321.714	11278410	0
155	My angel arily	1642274	2	True	4822736	258.509	4822736	274.0386657714844
156	一起打饭	0	-1	True	1949330	81.9688	1949330	0
157	秘制小汉堡	1091249	2	False	771945	15.4906	771945	0
158	My angel arily	1642274	2	False	3897389	216.974	3897389	0
159	arily	1762429	2	True	3041265	330.05	3041265	329.21673583984375
160	一起打饭	1829038	2	True	574446	53.5067	574446	63.639373779296875
161	drugs520	1401254	2	True	4387670	398.322	4387670	399.88714599609375
163	arily	0	-1	False	433619	303.344	433619	0
